BFrequency,IConcreteness,IFrequency,ILetters,IPhonNeighbour,IPhonemes,ISyllables,Initial,POS,TConcreteness,TFrequency,TLetters,TPOS,TPhonNeighbour,TPhonemes,TSyllables,Trailing,acc,accuracy,category,correct,correct_response,response_time,response_time_keyboard_response
529,2.76,118700,5,22,4,1,first,Number,1.97,1818,8,Adverb,1,7,2,instance,95.74468085,95.74468085,word,1,[word_response],404,404
24,1.83,124885,4,1,4,2,also,Adverb,3.29,5329,5,Verb,13,4,1,broke,95.83333333,95.83333333,word,1,[word_response],381,381
-,1.77,445396,3,41,3,1,had,Verb,-,-,8,-,-,7,-,skweands,95.91836735,95.91836735,word,1,[nonword_response],453,453
378,2.93,22691,7,3,6,2,process,Noun,1.54,1115382,4,Determiner,18,3,1,that,96,96,word,1,[word_response],395,395
78,3.07,1912,5,9,4,2,alter,Verb,3.34,260919,5,Pronoun,19,3,1,their,96.07843137,96.07843137,word,1,[word_response],444,444
1452,2.3,163470,4,6,4,2,into,Preposition,2.14,463240,4,Determiner,11,3,1,this,96.15384615,96.15384615,word,1,[word_response],386,386
-,3.97,291402,3,8,4,1,one,Number,-,-,6,-,-,5,-,splark,96.22641509,96.22641509,word,1,[nonword_response],437,437
-,4.89,4337,4,39,3,1,nose,Noun,-,-,7,-,-,5,-,steuphs,96.2962963,96.2962963,word,1,[nonword_response],497,497
-,1.72,370855,2,38,1,1,or,Conjunction,-,-,7,-,-,5,-,scwawsh,96.36363636,96.36363636,word,1,[nonword_response],405,405
52,2.64,254566,4,50,3,1,will,Verb,4.04,3446,5,Verb,17,3,1,throw,96.42857143,96.42857143,word,1,[word_response],462,462
331,2.12,117138,5,6,4,2,after,Preposition,3.43,30379,3,Number,33,4,1,six,96.49122807,96.49122807,word,1,[word_response],551,551
715,3.08,358792,2,42,2,1,we,Pronoun,2.61,39160,4,Verb,21,3,1,took,96.55172414,96.55172414,word,1,[word_response],478,478
-,3.07,154981,4,28,3,1,time,Noun,-,-,3,-,-,3,-,ruz,96.61016949,96.61016949,word,1,[nonword_response],658,658
-,2.3,163470,4,6,4,2,into,Preposition,-,-,6,-,-,4,-,thwoss,96.66666667,96.66666667,word,1,[nonword_response],406,406
279,4.5,22689,4,44,3,1,line,Noun,2.07,478178,2,Preposition,42,2,1,at,96.72131148,96.72131148,word,1,[word_response],359,359
