"Bigram_Frequency","Conc_initial","Conc_trailing","Freq_initial","Freq_trailing","Group","Initial","LR_Diversity","Letters_initial","Letters_ttrailing","POS_initial","POS_trailing","Phonemes_initial","Phonemes_trailing","Syll_initial","Syll_trailing","Trailing","W_NW","accuracy","correct","correct_response","response_time"
"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","[nonword_response]","3000"
"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","50","1","[nonword_response]","509"
"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","66.6666666667","1","[word_response]","622"
"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","75","1","[word_response]","758"
"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","80","1","[word_response]","693"
"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","83.3333333333","1","[nonword_response]","522"
"72","3.44","1.96","1.27","452.86","5","revolve","1","7","6","Verb","Adverb","6","3","2","2","around","w","85.7142857143","1","[word_response]","573"
"","","","","","0","inunct","","","","","","","","","","rdue","n","87.5","1","[nonword_response]","974"
"10","4.48","4.72","0.32","13.53","5","lentil","1","6","4","Noun","Noun","6","3","2","1","soup","w","88.8888888889","1","[word_response]","815"
"","","","","","0","they","","","","","","","","","","baet","n","90","1","[nonword_response]","791"
"21","3.46","4.85","0.56","297.06","5","beady","2","5","4","Adjective","Noun","4","2","2","1","eyes","w","90.9090909091","1","[word_response]","488"
"","","","","","0","panics","","","","","","","","","","gruop","n","91.6666666667","1","[nonword_response]","508"
"0","1.78","4.71","17.49","38.21","6","behave ","#N/A","7","3","Verb","Noun","","","2","1","pub","w","92.3076923077","1","[word_response]","776"
"35","2","3.3","6520.5","493.85","4","with","4777","4","6","Preposition","Noun","3","5","1","2","number","w","92.8571428571","1","[word_response]","465"
"47","2.07","3.66","182.49","63.25","4","common","269","6","6","Adjective","Noun","5","6","2","2","object","w","93.3333333333","1","[word_response]","487"
